Class Code, Class Title, Credit Hours, Times,Professors
CS 170,Introduction To Computer Science I,4,MW 5:30-6:45p; F 8-8:50a,D. Fossati
CS 170,Introduction To Computer Science I,4,MW 5:30-6:45p; F 9-9:50a,D. Fossati
CS 170,Introduction To Computer Science I,4,MW 5:30-6:45p; F 3-3:50p,D. Fossati
CS 170,Introduction To Computer Science I,4,MW 5:30-6:45p; F 4-4:50p,D. Fossati
CS 171,Introduction to Computer Science II,3,MW 11:30a-12:45p,A. Julian
CS 171,Introduction to Computer Science II,3,TTh 11:30a-12:45p,J. Ho
CS 224,Foundations of Computer Science,3,TTh 8:30-9:45a,A. Pouriyeh
CS 253,Data Structures and Algorithms,3,MW 1-2:15p,L. Zhao
CS 253,Data Structures and Algorithms,3,TTh 2:30-3:45p,J. Choi
CS 255,Computer Architecture/Machine Level Programming,3,MW 2:30-3:45p,S. Cheung
CS 325,Artificial Intelligence,3,MW 1-2:15p,E. Agichtein
CS 325,Artificial Intelligence,3,MW 2:30-3:45p,S. La Fleur
CS 326,Analysis of Algorithms,3,TTh 1-2:15p,M. Grigni
CS 329,Computational Linguistics,3,TTh 1-2:15p,J. Choi
CS 350,Systems Programming,3,TTh 11:30a-12:45p,D. Arnold
CS 355,Advanced Computer Architecture,3,MW 11:30a-12:45p,S. Cheung
CS 370,Computer Science Practicum,3,MW 2:30-3:45p,D. Fossati
CS 370,Computer Science Practicum,3,MW 1-2:15p,S. Madamanchi
CS 377,Database Systems,3,MW 8:30-9:45a,N. El-Sayed
CS 424,Theory of Computing,3,TTh 4-5:15p,M. Grigni
CS 452,Operating Systems,3,TTh 2:30-3:45p,K. Mandelberg
CS 453,Computer Security,3,TTh 11:30a-12:45p,Y. Vigfusson
CS 470,Data Mining,3,MW 4-5:15p,L. Zhao
CS 485,Topics in Computer Science: Human-Computer Interaction,3,TTh 10-11:15a,E. Wall
CS 485,Topics in Computer Science: Human-Computer Interaction,3,MW 5:30-6:45p,J. Brody
CS 485,Topics in Computer Science: Quantum Computing,3,TTh 10-11:15a,E. Wall
CS 485,Topics in Computer Science: Quantum Computing,3,MW 5:30-6:45p,J. Brody
CS 495RW,Honors,1-8,Does Not Meet,D. Fossati
CS 497R,Directed Research,1-4,Meets Online,J. Ho
CS 497R,Directed Research,1-4,Does Not Meet,D. Fossati
CS 497R,Directed Research,1-4,Does Not Meet,L. Zhao
CS 497R,Directed Research,1-4,Does Not Meet,C. Yang
CS 524,Theory Of Computing,3,TTh 4-5:15p,M. Grigni
CS 534,Machine Learning,3,TTh 3-4:20p,Qin/Pittard
CS 553,Information and Computer Security,3,TTh 11:30a-12:45p,Y. Vigfusson
CS 570,Data Mining,3,MW 10-11:15a,C. Yang
CS 573,Data Privacy and Security,3,MW 1-2:15p,L. Xiong
CS 580,Operating Systems,3,TTh 2:30-3:45p,K. Mandelberg
CS 584,Topics In Computer Science: Human-Computer Interaction,3,TTh 10-11:15a,E. Wall
CS 590,Teaching Seminar (TATTO Requirement),1,F 2-2:50p,N. El-Sayed
CS 596R,Computer Science Master's Practicum,1,Does Not Meet,S. Cheung
CS 597R,Directed Study,1-9,Does Not Meet,M. Bhasin
CS 598R,Rotation Project,3,Does Not Meet,E. Agichtein
CS 598R,Rotation Project,3,Does Not Meet,L. Ruthotto
CS 598R,Rotation Project,3,Does Not Meet,R. Sameni
CS 598R,Rotation Project,3,Does Not Meet,A. Sarker
CS 598R,Rotation Project,3,Does Not Meet,Y. Vigfusson
