Professor,Department,Quality,Level of Difficulty,Would Take Again
Sandeep Madamanchi,Computer Science,5,1,100%
Eugene Agichtein,Computer Science,3.5,4.2,50%
Phillip Hutto,Computer Science,4.7,2.3,N/A
Jaroslaw Slawinski,Computer Science,2,1.7,N/A
Valerie Summet,Computer Science,4,3,67%
Shuai Yuan,Computer Science,N/A,N/A,N/A
Luca Bonomi,Computer Science,2.7,3.3,N/A
Shuai Zheng,Computer Science,1,5,N/A
Anca Doloc-Mihu,Computer Science,3.6,3.4,72%
Tianlei Xu,Computer Science,5,1,N/A
Cengiz Günay,Computer Science,N/A,N/A,N/A
Yevgeny Agichtein,Computer Science,N/A,N/A,N/A
Willaim Kay,Computer Science,4,3,100%
Shamim Nemati,Computer Science,3,3,50%
Navid Hashemi,Computer Science,4.4,3.2,89%
Timothy Sun,Computer Science,1.7,4.6,0%
Yubin Park,Computer Science,N/A,N/A,N/A
Abigail Julian,Computer Science,5,2.5,100%
Dorian Arnold,Computer Science,2,4.4,30%
Sahar Voghoei,Computer Science,1.5,3.7,15%
Nosayba El-Sayed,Computer Science,4.4,3.3,77%
Vishwanath Seshagiri,Computer Science,5,1,100%
Li Xiong,Computer Science,5,3.7,100%
Ken Mandelberg,Computer Science,2.2,3.7,0%
Imon Banerjee,Computer Science,3,4,0%
James Lu,Computer Science,5,3.5,100%
Michaelangelo Grigni,Computer Science,3.9,3.7,100%
Avani Wildani,Computer Science,2.6,4,37%
Vaidy Sunderam,Computer Science,3.7,3.2,63%
Shun Yan Cheung,Computer Science,4.4,3.2,94%
Liang Zhao,Computer Science,3,3,67%
Joyce Ho,Computer Science,4.7,3.7,100%
Davide Fossati,Computer Science,3.6,4.3,64%
Steve La Fleur,Computer Science,2.4,3.7,31%
Carl Yang,Computer Science,3.5,3.9,60%
Ain Pouriyeh,Computer Science,3,3,67%
Ymir Vigfusson,Computer Science,4.5,3.7,100%
Jinho Choi,Computer Science,4.3,3.9,50%
